Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                 515",-4.127846941824e+01,-2.073998235784e+02,6.145887796423e+00,-4.321525656652e+01,-2.071486075133e+02,6.144870305995e+00,-1.936787148277e+00,2.512160650891e-01,-1.017490427818e-03
"                 516",-4.123245186756e+01,-2.070081907276e+02,6.186273736289e+00,-4.316934978534e+01,-2.067567575202e+02,6.184748038891e+00,-1.936897917781e+00,2.514332073474e-01,-1.525697398137e-03
"                 517",-4.120220535609e+01,-2.067258419896e+02,6.211025789614e+00,-4.313917238246e+01,-2.064741487497e+02,6.208976967615e+00,-1.936967026375e+00,2.516932399315e-01,-2.048821998937e-03
"                 518",-4.118752375882e+01,-2.065649045334e+02,6.215273225394e+00,-4.312459797924e+01,-2.063129033721e+02,6.212715938851e+00,-1.937074220421e+00,2.520011612938e-01,-2.557286542842e-03
"                 519",-4.118083549366e+01,-2.065054382432e+02,6.188910540113e+00,-4.311799883463e+01,-2.062531002388e+02,6.185868742051e+00,-1.937163340967e+00,2.523380044085e-01,-3.041798062299e-03
"                 520",-4.117815932066e+01,-2.065418724158e+02,6.132282021282e+00,-4.311537233780e+01,-2.062891984694e+02,6.128832571941e+00,-1.937213017138e+00,2.526739463498e-01,-3.449449341080e-03
"                 521",-4.118284289586e+01,-2.066781056614e+02,6.054536817575e+00,-4.312005002550e+01,-2.064250914619e+02,6.050780486709e+00,-1.937207129645e+00,2.530141994314e-01,-3.756330866107e-03
"                 522",-4.120061839074e+01,-2.069175202762e+02,5.963426334473e+00,-4.313775534506e+01,-2.066642118406e+02,5.959464478049e+00,-1.937136954322e+00,2.533084355399e-01,-3.961856423486e-03
"                 523",-4.123295901049e+01,-2.072450125383e+02,5.865487045908e+00,-4.316998539144e+01,-2.069914271307e+02,5.861432521552e+00,-1.937026380951e+00,2.535854075642e-01,-4.054524356067e-03
"                 524",-4.127578930748e+01,-2.076206774913e+02,5.759906392726e+00,-4.321267806115e+01,-2.073668625813e+02,5.755886406152e+00,-1.936888753667e+00,2.538149099967e-01,-4.019986573344e-03
"                 525",-4.131992726146e+01,-2.079918499598e+02,5.646226828047e+00,-4.325664839116e+01,-2.077378845930e+02,5.642363771219e+00,-1.936721129706e+00,2.539653668324e-01,-3.863056828347e-03
"                 526",-4.135785534427e+01,-2.083070229789e+02,5.530073352626e+00,-4.329436391344e+01,-2.080529696805e+02,5.526460964752e+00,-1.936508569171e+00,2.540532983793e-01,-3.612387874100e-03
"                 527",-4.139820034571e+01,-2.085736115774e+02,5.420890557883e+00,-4.333451189673e+01,-2.083195472077e+02,5.417554279649e+00,-1.936311551024e+00,2.540643697719e-01,-3.336278234546e-03
"                 528",-4.144345812620e+01,-2.087814691559e+02,5.330511164176e+00,-4.337954125844e+01,-2.085274102662e+02,5.327447247526e+00,-1.936083132236e+00,2.540588897009e-01,-3.063916649352e-03
"                 529",-4.148834484660e+01,-2.089115865773e+02,5.267081437645e+00,-4.342414028559e+01,-2.086575634480e+02,5.264294996420e+00,-1.935795438991e+00,2.540231292954e-01,-2.786441224625e-03
